Timestamp,Latitude,Longitude,Distance(km),Status,Alert,Google Maps
2026-06-13 15:21:31.151246,28.62152,77.20365,0.995,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.62152,77.20365"
2026-06-13 15:21:34.152823,28.606351,77.21208,0.892,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.606351,77.21208"
2026-06-13 15:21:37.154609,28.613141,77.201827,0.705,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.613141,77.201827"
2026-06-13 15:21:40.158424,28.609971,77.213995,0.655,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.609971,77.213995"
2026-06-13 15:21:43.172872,28.614217,77.202758,0.61,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.614217,77.202758"
2026-06-13 15:21:46.175237,28.608407,77.203331,0.824,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.608407,77.203331"
2026-06-13 15:21:49.176872,28.616741,77.212989,0.501,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.616741,77.212989"
2026-06-13 15:21:52.178483,28.617005,77.203642,0.627,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.617005,77.203642"
2026-06-13 15:21:55.182082,28.634672,77.238999,3.729,THEFT SUSPECTED,GEOFENCE ALERT,"https://maps.google.com/?q=28.634672,77.238999"
2026-06-13 15:21:58.193332,28.645475,77.253773,5.606,THEFT SUSPECTED,GEOFENCE ALERT,"https://maps.google.com/?q=28.645475,77.253773"
2026-06-13 15:22:01.202599,28.608501,77.210427,0.616,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.608501,77.210427"
2026-06-13 15:22:04.205454,28.613592,77.211623,0.258,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.613592,77.211623"
2026-06-13 15:22:07.263626,28.639716,77.233198,3.717,THEFT SUSPECTED,GEOFENCE ALERT,"https://maps.google.com/?q=28.639716,77.233198"
2026-06-13 15:22:10.266896,28.610044,77.213378,0.605,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.610044,77.213378"
2026-06-13 15:22:13.273773,28.642481,77.252147,5.276,THEFT SUSPECTED,GEOFENCE ALERT,"https://maps.google.com/?q=28.642481,77.252147"
2026-06-13 15:22:16.276627,28.6139,77.209,0.0,PARKED,NONE,"https://maps.google.com/?q=28.6139,77.209"
2026-06-13 15:22:19.278863,28.646221,77.246277,5.114,THEFT SUSPECTED,GEOFENCE ALERT,"https://maps.google.com/?q=28.646221,77.246277"
2026-06-13 15:22:22.283015,28.649749,77.246932,5.44,THEFT SUSPECTED,GEOFENCE ALERT,"https://maps.google.com/?q=28.649749,77.246932"
2026-06-13 15:22:25.284505,28.618548,77.201064,0.931,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.618548,77.201064"
2026-06-13 15:22:28.285959,28.6139,77.209,0.0,PARKED,NONE,"https://maps.google.com/?q=28.6139,77.209"
2026-06-13 15:22:31.288663,28.611672,77.215026,0.638,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.611672,77.215026"
2026-06-13 15:22:34.290144,28.614759,77.205552,0.35,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.614759,77.205552"
2026-06-13 15:22:37.291837,28.609476,77.214117,0.701,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.609476,77.214117"
2026-06-13 15:22:40.293945,28.620404,77.203438,0.904,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.620404,77.203438"
2026-06-13 15:22:43.295411,28.6139,77.209,0.0,PARKED,NONE,"https://maps.google.com/?q=28.6139,77.209"
2026-06-13 15:22:46.297596,28.609645,77.210386,0.492,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.609645,77.210386"
2026-06-13 15:22:49.300092,28.621782,77.206823,0.902,MOVING SAFELY,NONE,"https://maps.google.com/?q=28.621782,77.206823"
2026-06-13 15:22:52.302310,28.638929,77.246424,4.592,THEFT SUSPECTED,GEOFENCE ALERT,"https://maps.google.com/?q=28.638929,77.246424"
